-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 ImagePalette.py:1(<module>)
        3    0.000    0.000    0.005    0.002 exceptions.py:1(<module>)
      555    0.002    0.000    0.005    0.000 enum.py:383(__setitem__)
        3    0.000    0.000    0.005    0.002 _common.py:1(<module>)
      222    0.001    0.000    0.005    0.000 _compiler.py:509(_compile_info)
        8    0.000    0.000    0.005    0.001 dataclasses.py:1255(wrap)
        8    0.000    0.000    0.005    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.005    0.005 maxflow.py:1(<module>)
    45/12    0.000    0.000    0.005    0.000 typing.py:1241(__getitem__)
        1    0.000    0.000    0.005    0.005 tz.py:1(<module>)
       33    0.000    0.000    0.005    0.000 contextlib.py:132(__enter__)
    12356    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       10    0.000    0.000    0.005    0.000 core.py:5642(__init__)
        1    0.000    0.000    0.005    0.005 graph.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
       20    0.001    0.000    0.004    0.000 typing.py:2728(__new__)
      586    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
      241    0.000    0.000    0.004    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
     2679    0.002    0.000    0.004    0.000 cbook.py:405(_strip_comment)
     30/9    0.000    0.000    0.004    0.000 core.py:4524(leave_whitespace)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:299(loads)
       62    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       71    0.000    0.000    0.004    0.000 deprecation.py:260(rename_parameter)
        1    0.000    0.000    0.004    0.004 decoder.py:332(decode)
    11434    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.004    0.004 decoder.py:343(raw_decode)
      698    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
      461    0.001    0.000    0.004    0.000 core.py:522(copy)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
       76    0.000    0.000    0.004    0.000 __init__.py:825(_normalized_name)
       18    0.000    0.000    0.004    0.000 rcsetup.py:690(cycler)
       49    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1294(exec_module)
       22    0.000    0.000    0.004    0.000 core.py:4930(parseImpl)
     1230    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.004    0.004 sprite.py:1(<module>)
       49    0.003    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
       32    0.000    0.000    0.004    0.000 colors.py:1048(from_list)
      617    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
       20    0.000    0.000    0.004    0.000 typing.py:2709(_make_nmtuple)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
     5629    0.002    0.000    0.004    0.000 _parser.py:254(get)
      229    0.000    0.000    0.004    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.004    0.004 version.py:161(Version)
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
